,n,p,neighbor,TDR,miss,extra,miss+extra,miss_rate,extra_rate,SHD,SHD_rate,sd(SHD),recall,precision,F1,TPR,FPR,efficiency
pc,500,10,6,0.4294381,17.39,0.77,18.16,0.5705619,0.05541635,21.34667,0.7038045,0.9358015,0.8247735,0.8693184,0.9358015,0.03091723,0.06233246,869.45
pc,500,10,7,0.3657076,22.30333,0.8533333,23.15667,0.6342924,0.0620913,26.14667,0.7450947,0.9485118,0.8220538,0.875459,0.9485118,0.03109885,0.0588032,883.9667
pc,1000,10,5,0.5651897,11.13333,0.73,11.86333,0.4348103,0.04823985,14.81,0.584465,0.9370381,0.8610104,0.8926345,0.9370381,0.02734659,0.05396494,1017.5967
pc,1000,10,6,0.4755776,15.86667,0.9666667,16.83333,0.5244224,0.06341601,19.65333,0.6517427,0.9560662,0.8523196,0.8973946,0.9560662,0.02947778,0.0607218,1112.4267
pc,1000,10,7,0.4039364,20.87,1.1,21.97,0.5960636,0.07222733,24.67667,0.7058859,0.9733579,0.8419313,0.8989712,0.9733579,0.0314278,0.05782819,1113.01
hc,50,10,5,0.5001856,12.716667,4.576667,17.29333,0.4998144,0.2646388,22.98333,0.9073307,1,0.6660401,0.7933917,1,0.07849057,0.09162843,209.61
hc,50,10,6,0.4415845,16.67,4.59,21.26,0.5584155,0.255999,28.51,0.9588464,1,0.5866416,0.7332523,1,0.10054477,0.0894183,219.1767
hc,50,10,7,0.4054184,21,3.673333,24.67333,0.5945816,0.2025041,33.03333,0.93858,1,0.5331172,0.6892937,1,0.1166503,0.08335703,218.57
hc,250,10,5,0.6848673,7.99,6.883333,14.87333,0.3151327,0.282565,23.08667,0.9198433,1,0.6561429,0.7875179,1,0.12541982,0.09054159,284.37
hc,250,10,6,0.6182644,11.473333,7.053333,18.52667,0.3817356,0.2758778,28.73,0.9623003,1,0.600616,0.7447753,1,0.15934935,0.07815975,302.13
hc,250,10,7,0.5832994,14.693333,5.66,20.35333,0.4167006,0.2148767,32.65,0.9302131,1,0.5301028,0.6859933,1,0.19394333,0.07482567,310.59
hc,500,10,5,0.7575087,6.153333,7.88,14.03333,0.2424913,0.289525,23.17667,0.9269781,1,0.6595109,0.7897929,1,0.14628286,0.0954168,316.6467
hc,500,10,6,0.6923562,9.376667,7.953333,17.33,0.3076438,0.2738211,29.22,0.9686237,1,0.5875856,0.7351965,1,0.19588967,0.07354991,338.7
